sample,TCells,BCells,MPs,Keratinocytes,Melanocytes,Fibroblasts,LECs,VascularECs,MastCells,SGCs,SMCs,SchwannCells,Adipocytes
AM,0.16756157200836927,0.022183569033754316,0.11636290302251127,0.10083440469888326,0.12879074340164864,0.2105926542136177,0.025864024805263557,0.08069273236028132,0.009730520053442234,0.059290629962943354,0.041090019914794926,0.007789457762988732,0.029216768761501425
CM,0.27035952216861936,0.041666666666666664,0.02817022742935906,0.05186078566505858,0.4773719274063864,0.04738111647139903,0.0037043418332184702,0.022599356765449115,0.0023546979094877097,0.006863082931311739,0.019411899839191362,0.02437973811164714,0.0038766368022053756
