"sample","Adipocytes","BCells","Fibroblasts","Keratinocytes","LECs","MPs","MastCells","Melanocytes","SGCs","SMCs","SchwannCells","TCells","VascularECs"
"AM",1159,880,8354,4000,1026,4616,386,5109,2352,1630,309,6647,3201
"CM",135,1451,1650,1806,129,981,82,16624,239,676,849,9415,787
