"cell_type","CCR7","SELL","TCF7","LEF1","PRF1","GNLY","GZMB","GZMA","HAVCR2","PDCD1","TIGIT","TRDC","TRGC1","IL26","CCR6","FOXP3","CTLA4","IKZF2","ANXA1","IL7R","CD4"
"Naive CD8+ T",0.310247962068605,0.488391636363854,0.480932115692817,0.6453626177821,0.356918643084798,1.21653798893667,0.57639711508689,0.747008497946153,0.0427602107022043,0.0535663355958808,0.277594042291977,0.480908956205455,0.0868805074862941,0.0176049269843362,0.0907718572174034,0.0117963927011652,0.087041890000327,0.0869985908783894,0.26378188636252,0.057365215508923,0.102584307429743
"Cytotoxic CD8+ T",0.0986841280579964,0.215853145204758,0.287928544914522,0.315616998036628,1.07285476269539,1.64477481080421,1.36767169251041,1.64215308107133,0.136719883659682,0.159059939056714,0.381018784897407,0.36872972397961,0.140917409970413,0.0287657223141206,0.0363472871361537,0.00706086906553277,0.103701724070737,0.365905914461424,1.36173308668246,0.663205830396217,0.0523331421322562
"Exhausted CD8+ T",0.153889541905093,0.209591382016023,0.368492085613256,0.15520015182564,0.168188672035715,0.334346740398422,0.19041177332458,0.197112797004235,0.24360685138023,0.619328336978528,1.00628391710779,0.0597747233427899,0.0285684642479082,0.0101878810095231,0.0333112648276621,0.0249537492097778,0.640305878095349,0.282205570622689,0.328008742927801,0.529174512828027,0.157954119699375
"NK-like",0.0717886575484147,0.340027340439243,0.359166586063723,0.178290175511994,0.262959328247646,1.25080029737966,0.191837378399676,0.358500038442259,0.174651369907124,0.0247188113378345,0.0763162521390993,0.619962560554171,0.213006424331349,0.0259670726212101,0.0903034327891287,0,0.0193216062331657,0.407056444991699,0.655653106342014,0.83283577881285,0.0206464443716184
"Th17",0.0806551264969703,0.0790958366879652,0.332360712183687,0.190600539545084,0.0846044795815093,0.0551496557231791,0.0242660703904396,0.549749296335177,0.0755777929948669,0.0834396323988344,0.256945225381962,0.0436600731243903,0.0684971321424531,0.103201906735331,0.235246540134254,0.00272386975269407,0.0810589528934264,0.805146844166977,0.394686641641103,0.420221934012779,0.0895472795424546
"Treg",0.0602565316632255,0.374187367125329,0.140732408742712,0.548696255977585,0.135514545604185,0.191515711810504,0.0850501336560062,0.0795380491715557,0.0946696219398201,0.132635308787522,0.920416408981677,0.0309812886780102,0.00737960346895319,0.0118807947266588,0.140113817928868,0.396258480957599,0.879723855952147,1.49149651387482,0.243185233647273,0.694210997062605,0.423001240318817
"CD4Tmem",0.0539094887431633,0.0958321077432896,0.396557196973753,0.578626289168817,0.0439682057497348,0.0892533606155273,0.00759471936952215,0.169102198921783,0.0578016303816535,0.045713778239791,0.0882200022110127,0.0107400861113268,0.0268061922726662,0.0745199522086042,0.212054180273893,0.00681175456640301,0.0842210616492084,0.32448046999243,1.574601713976428,1.38366900088527,0.464399122719427
