"Pseudotime","Group"
1.00677954417543,"CM"
0.296457460734387,"AM"
0.288680257586167,"AM"
0.296006663198129,"CM"
0.650343897013961,"AM"
0.690360939081092,"AM"
0.620028630268219,"AM"
0.252320694653482,"AM"
0.354088108283792,"CM"
0.255578474545446,"CM"
0.206234196384078,"AM"
1.45763779081432,"CM"
0.265416691833317,"AM"
0.205755808083221,"AM"
0.328852049219131,"CM"
0.224108012461763,"CM"
0.867030957711327,"AM"
0.280151556657076,"AM"
0.340763808202367,"AM"
0.309642912850621,"AM"
0.326393877523597,"AM"
2.4518010386191,"AM"
0.315485500534128,"AM"
0.297699841187168,"AM"
2.1131462197136,"AM"
0.773820464564053,"AM"
0.271652411159259,"AM"
1.02532689496059,"CM"
2.04461136408764,"AM"
0.475978621832818,"AM"
0.271613770344462,"CM"
0.225641496668052,"AM"
1.02705229434787,"AM"
0.279007427528692,"AM"
0.28596680773401,"CM"
1.03771453642222,"AM"
0.275318344108786,"AM"
0.285035650068684,"AM"
0.165850405848131,"AM"
0.529297591380167,"AM"
0.2552469218546,"CM"
0.2214519112358,"AM"
0.308680106030864,"AM"
0.217135721884241,"AM"
1.26403629542731,"AM"
0.321100600603034,"AM"
0.384367434701831,"CM"
0.282002958676185,"AM"
0.352282435467352,"AM"
0.321106618895578,"CM"
0.504090846595468,"AM"
0.260000996585563,"CM"
2.76578581486413,"AM"
0.937713387625891,"AM"
0.27604294489351,"AM"
0.234967518069725,"AM"
0.310353842097717,"AM"
0.342803333726672,"CM"
0.28348879213756,"AM"
0.319063542400369,"CM"
0.266102026672103,"AM"
0.192414183288597,"AM"
3.14106028704344,"AM"
0.302237892225545,"AM"
0.207040821726134,"AM"
0.798771783160372,"AM"
0.399378158653016,"AM"
0.45891052938722,"CM"
0.304648586938955,"CM"
0.300525167741197,"AM"
0.660678976874072,"AM"
0.192011447809136,"AM"
0.278330707544618,"AM"
0.614704720280193,"CM"
0.518595968893939,"AM"
2.93561688372153,"AM"
0.276120592196069,"AM"
2.95082854188378,"AM"
0.243083197022941,"AM"
0.825899134981745,"AM"
0.253981171764115,"AM"
0.333850821456401,"AM"
0.301050456833288,"AM"
0.286033780721437,"CM"
0.349565565960877,"AM"
2.43653200136374,"AM"
0.163585774462846,"AM"
0.320648072921884,"AM"
0.254987914802333,"AM"
0.230068157019904,"AM"
0.194759131066229,"AM"
