"group","subtype","n","ratio"
"AM","Cytotoxic CD8+ T",494,0.18705035971223
"AM","Exhausted CD8+ T",172,0.0651268458917077
"AM","Naive CD8+ T",1975,0.747822794396062
"CM","Cytotoxic CD8+ T",2542,0.335932337782477
"CM","Exhausted CD8+ T",355,0.0469142328531783
"CM","Naive CD8+ T",4670,0.617153429364345
