"group","Signature","Score","p","p_adj"
"CM","Cytotoxicity",-0.312511386693321,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.260475582022245,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.239853684766034,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.270186310643377,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.315888450955324,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.257074256445754,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.265293375348368,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.110748896881861,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.310297374726653,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.225841387303396,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.280353290881526,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.19638765299953,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.102056317505704,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.172680250317578,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.330686105693405,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.596464249308419,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.225551504027032,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.45148490696837,9.98155367909283e-118,"1.33e-117"
"CM","Resident",1.40716455114019,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.200577781155409,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.354941193764979,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.29268151304728,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.321767770998676,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.195214800088166,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.360889157243963,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.25176936902861,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.687861679424735,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.360605239732115,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.291877932863246,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.167220806826019,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.230996036578604,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.170532852108952,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.323745567893149,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.183543016308082,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.281910810806243,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.234000989054094,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.413034187176842,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.280307783738455,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.308547244340613,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.172750212738955,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.368419262317366,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.271079973243948,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.297501835799422,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.293095866369461,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.414881389414186,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.189708694358964,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.27164471424787,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.250926610158892,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.420059293384573,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.306370239318516,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.36212162109697,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.926149820669983,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.06389097080483,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.167253810207485,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.455513561793818,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.855708485657025,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.391371144510664,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.202525176650236,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.339348707998421,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.209258808229786,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.327731034782378,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.789954027547225,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.216904525616319,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.188129978563086,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.393760347689371,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.180856839638957,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.331466346065837,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.155684985757746,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.326016874332013,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.3080543887904,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.288304487938812,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.247141887613595,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.443277130006861,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.208328838274071,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.361204588547086,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.206511758940243,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.305614302844694,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.681616610401694,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.289313541946599,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.255053151557538,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.456692022201164,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.293229508762995,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.0317862875076115,9.86706930318095e-295,"3.95e-294"
