"cell_type","CCR7","SELL","TCF7","LEF1","PRF1","GNLY","GZMB","GZMA","HAVCR2","PDCD1","TIGIT","TRDC","TRGC1","IL26","CCR6","FOXP3","CTLA4","IKZF2","ANXA1","IL7R","CD4"
"Naive CD8+ T",0.151993980436418,0.2418359668924,0.292626034612491,0.250037622272385,0.176674191121144,0.186756960120391,0.244394281414597,0.320692249811889,0.0215199398043642,0.0285929270127916,0.14627539503386,0.218811136192626,0.0454477050413845,0.0072234762979684,0.0478555304740406,0.00662151993980436,0.0457486832204665,0.0335590669676448,0.095410082768999,0.072460496613995,0.0501128668171558
"Cytotoxic CD8+ T",0.0527009222661397,0.113965744400527,0.149209486166008,0.133728590250329,0.422924901185771,0.497694334650856,0.46969696969697,0.624505928853755,0.0718050065876153,0.0826745718050066,0.193675889328063,0.168642951251647,0.0714756258234519,0.0138339920948617,0.0207509881422925,0.00428194993412385,0.0527009222661397,0.14262187088274,0.063570487483531,0.089855072463768,0.0279973649538867
"Exhausted CD8+ T",0.0910815939278937,0.117647058823529,0.212523719165085,0.079696394686907,0.10246679316888,0.182163187855787,0.104364326375712,0.10246679316888,0.100569259962049,0.320683111954459,0.461100569259962,0.0341555977229602,0.0113851992409867,0.00569259962049336,0.0208728652751423,0.0170777988614801,0.124478178368121,0.111954459203036,0.172675521821632,0.277039848197343,0.0986717267552182
"NK-like",0.0368550368550369,0.146191646191646,0.16953316953317,0.0724815724815725,0.117936117936118,0.143488943488943,0.0884520884520884,0.142506142506143,0.0712530712530713,0.0135135135135135,0.0380835380835381,0.259213759213759,0.106879606879607,0.0147420147420147,0.0491400491400491,0,0.0110565110565111,0.15970515970516,0.278869778869779,0.329238329238329,0.0110565110565111
"Th17",0.0370813397129187,0.0358851674641148,0.147129186602871,0.0801435406698565,0.0370813397129187,0.0203349282296651,0.0107655502392345,0.236842105263158,0.0334928229665072,0.0358851674641148,0.113636363636364,0.0191387559808612,0.0287081339712919,0.0478468899521531,0.0956937799043062,0.00119617224880383,0.0358851674641148,0.294258373205742,0.163875598086124,0.169856459330144,0.0382775119617225
"Treg",0.0337250894225856,0.185487991824221,0.0735820132856413,0.128921819110884,0.0735820132856413,0.0996423096576392,0.0434338272866633,0.0408788962698007,0.0500766479305059,0.0710270822687787,0.41134389371487,0.0173735309146653,0.00408788962698007,0.00510986203372509,0.0715380684721512,0.190597853857946,0.397547266223812,0.529892692897292,0.11599386816556,0.307102708226878,0.106949412365866
"CD4Tmem",0.0258121940364931,0.0440587449933244,0.178015131286159,0.133644859813084,0.0204717400979083,0.0360480640854473,0.00356030262572319,0.0756564307966177,0.0267022696929239,0.0218068535825545,0.0409434801958166,0.00534045393858478,0.0120160213618158,0.0307076101468625,0.0898976412995105,0.00356030262572319,0.0382732532265243,0.124165554072096,0.632309746328438,0.497552291944815,0.216599910992434
