sample,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",mitotic spindle midzone assembly,mitotic spindle elongation,positive regulation of mitotic cell cycle spindle assembly checkpoint,regulation of attachment of mitotic spindle microtubules to kinetochore,attachment of mitotic spindle microtubules to kinetochore,cytoplasmic translation,ribosomal small subunit biogenesis,ribosome assembly,ribosomal large subunit biogenesis,translational elongation,stress response to copper ion,negative regulation of stress-activated protein kinase signaling cascade,protein refolding,stress response to metal ion
GSM4956779,2.3963664246991505,-0.4687568704827344,-0.10518478686986371,-0.15497929291197615,0.37895911570147106,-0.5570210777366459,1.0968879235556137,0.8655796641139455,-1.3828905380491974,-0.9195178210267297,-0.9719367110864212,0.48488968657729553,-1.1794910078212633,-7.149566900988214e-05,0.517166787006364
GSM4956780,2.3739398483284804,-0.8318059956652929,-0.569793731912756,-0.18904802941740897,0.1178566116185101,-0.18947405261186298,0.7168569074620231,0.846434008231102,0.13722550920402982,-0.10641841103087489,-1.2001002044062588,0.6120163736804269,-1.8889496333104203,-0.4640164254845139,0.6352772253148162
GSM4956785,0.16248211623685715,0.09507648909248409,0.6485460112219757,0.5220989744720664,1.948003089090706,-0.07637142037041997,1.3337530259677244,-0.4105849832494912,-0.5940541042366128,-0.8693881300620894,-1.7281739780664345,0.057384540036123505,-1.7593285184882623,0.5640365850416527,0.10652030331371971
GSM4956788,1.3040525873245559,-0.0696869849055314,0.35219490379940577,0.04571369759641586,0.5900189715285404,0.4777841370904103,0.77437652799108,1.0760022510145897,-0.2726334684875967,0.1310535655980425,-1.8365923506148625,0.4193385364697928,-1.8652010690864265,-1.5832135544065327,0.45679224908811694
GSM4956789,0.6190673914791602,-0.15532708884984514,0.37807001380752014,0.8450655694244239,1.5449294760920704,1.0602308662475473,1.154108572417834,-0.06501565814764076,0.10803691227734545,-1.3307621166498387,-1.260027372012619,-1.4782906389417625,-0.3722085869278231,0.3830595191275472,-1.4309368593439202
GSM4956792,2.162048516866715,-0.6672891374984051,-0.16417845883604393,0.1573098198067426,0.317623338176969,-1.0159089583218583,1.377267037644673,0.9340281399733719,-1.2706506390231722,-0.1279004061904291,-1.0231825316162397,0.113408108449054,-1.4130908687002635,0.4624429121507612,0.15807312711812468
GSM4956797,0.1592963733879134,0.23224775807198195,0.5951939932079945,1.3405502468384267,1.6457869796463742,0.6963573634419556,0.9918806955523013,-0.07727395105336068,-1.5423222150014577,-0.7932260032306081,-0.6896907886202928,-1.4403676170699127,0.18285682465426484,0.10685641818050116,-1.408146078006083
GSM4956799,0.04299096014570087,0.0547743701618571,0.1206788937338579,0.1666844904390699,0.562487479163729,0.8637080281340566,-1.0432748206360618,-0.3393087101978779,0.16450321215362962,-0.24597097708055496,-1.034716021165797,-1.5654932878072834,0.5213566626285399,-0.4354111618752929,-1.5330091177975718
GSM4956800,0.6482334498793774,0.19066708881728958,0.49535800625167486,-0.445418769022688,0.1694489154784751,0.19798883833423198,-1.2688145466175103,-0.9712883416391865,-0.7152248371882928,1.0597928037668525,1.6114428960496958,-1.187236699886812,-0.5622372935548866,0.9374754236982937,-1.160186934366514
GSM4956801,1.0237193845838195,0.2614347052047872,0.706714030434011,-0.12464621111640539,0.9279160750897602,1.1043772352103758,-0.30671799477699513,0.3878045303658911,0.3209296164646149,1.4025249208057946,-1.818065330351425,-0.6137546170930256,-1.7502707738710965,-0.947741836862514,-0.5742237340875922
GSM4956802,1.7809475407504078,0.08823705956834789,0.6752720590368065,0.3976006628821633,0.7001487690567608,0.4581067323191588,1.7630956995943639,-0.944068901115681,-1.7895329142884076,-0.47648429928948893,0.02469556336081389,-0.7058287610453333,-1.0345505301936513,-0.28392554947072773,-0.6537131311655334
GSM4956803,0.1690706426757419,0.1456834486151506,0.3975307320125825,0.1277452638257056,0.6494094761784662,0.9310464120711304,-2.0247019011912695,-0.3901421220976536,0.35511582864015595,0.11750176198018557,-0.3234032627591309,-1.3365227249944152,-0.5484690708645432,1.0442998128334184,-1.3141642969255247
