"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC010967.1",3.38602046313863,1.94667109307777,8.66866903336323,5.96268828674305e-14,2.41679681638269e-09,21.0724865503519
"SNX29P1",0.939236746811639,0.894092743814984,7.70428274008558,7.84153779798134e-12,1.5891660501389e-07,16.4669861229793
"CTA.797E19.1",1.64548063691191,1.32297820118346,7.59899757933028,1.32564732829873e-11,1.79103791702014e-07,15.9710551288092
"DNAJB7",0.647514069525324,0.785124836114318,7.49558808868483,2.21616431644251e-11,1.8096520995127e-07,15.4856560228151
"AC091814.3",0.906132046309778,0.937260261071256,7.4941187977748,2.23237454296938e-11,1.8096520995127e-07,15.478771877865
"RP3.333H23.9",1.1510673412887,1.5008905200931,7.23942543767874,7.84841675460848e-11,5.2836068937093e-07,14.2911784221886
"CTA.722E9.1",1.1009008859821,0.894639746864558,7.2087231394436,9.12495022598566e-11,5.2836068937093e-07,14.1488308799771
"CTA.992D9.8",0.722048880945672,0.674195229245807,7.15443382347708,1.19056493452408e-10,5.75343789591086e-07,13.8975793547571
"KIAA1683",1.31620409502032,1.34748472019442,7.14002349050604,1.27753234637318e-10,5.75343789591086e-07,13.8309873827974
"RP1.29C18.9",1.10856145012942,1.84518282027427,7.08910601144167,1.63834869626277e-10,6.50257127831049e-07,13.5960315239225
"RP11.706O15.1",1.59298514477468,3.82601738846098,7.07387300985249,1.76473611125568e-10,6.50257127831049e-07,13.5258441916809
"KIF25",1.27670385885972,1.29052253002787,7.00917400487707,2.41828215807996e-10,8.16815103594141e-07,13.2282863835213
"CTC.559E9.4",0.964614691422015,1.04223615116631,6.90173555239729,4.07202383130436e-10,1.26959438408022e-06,12.7361878791033
"RP11.252C24.3",1.10272860794709,0.867389133938638,6.78481454193873,7.15714480084635e-10,2.07209566477074e-06,12.2036630750797
"RP11.91P24.1",0.833775956887046,0.876539934175034,6.74178274781411,8.80068876069946e-10,2.1573138351843e-06,12.0084945416906
"SNTG2",1.36822430061574,0.998665686674556,6.73145224535663,9.24781138642659e-10,2.1573138351843e-06,11.9617087099531
"RAP2C.AS1",0.774481385669649,1.40747348571027,6.7277475698088,9.41356928421579e-10,2.1573138351843e-06,11.9449370337606
"ATP6V0CP1",1.06411634366628,0.745955258624823,6.72408149538838,9.58049171847363e-10,2.1573138351843e-06,11.928343464837
"C4orf17",0.907222270133219,0.869323188594358,6.69970802677875,1.07671350196981e-09,2.27123311426705e-06,11.8181082823374
"MIR6888",2.07910649271299,1.59858040518501,6.69134098155862,1.12071109951004e-09,2.27123311426705e-06,11.7803005526305
"CA5B",1.19400171337979,3.5385145187138,6.64061927553485,1.42812263419632e-09,2.75641269567834e-06,11.5514875901426
"AC017006.2",1.08236372334735,0.957970785581248,6.6157027371371,1.60831722333056e-09,2.96310516800156e-06,11.4393277963862
"CTC.448F2.6",0.810184511644852,1.2713126948149,6.54598565827916,2.24069734982321e-09,3.86674859056007e-06,11.1263686439993
"LINC00116",-1.30156481314113,4.08757629794141,-6.54143704743325,2.28959750748647e-09,3.86674859056007e-06,11.1059950040702
"AL049758.2",0.965433223907203,0.957579642413231,6.50233802937822,2.75582002075169e-09,4.46795588324431e-06,10.9310981577009
"RP11.857B24.1",0.919750918896005,0.769665874251198,6.47365384935462,3.1563445224e-09,4.78034372388312e-06,10.80305487572
"CDR1.AS",2.88331598266671,2.73278563690513,6.46430632934948,3.29888971323436e-09,4.78034372388312e-06,10.761377690143
"LINC00857",0.471182498774249,0.469439205366287,6.46408634829077,3.30231975399012e-09,4.78034372388312e-06,10.7603971676154
"EGLN3.AS1",1.67331046626167,1.21739130665167,6.45406896182226,3.46230289029154e-09,4.83910554307919e-06,10.7157609365206
"CHMP4BP1",1.08196197025167,1.14693240053175,6.41541721094469,4.15455402091991e-09,5.5252398683516e-06,10.5437978212748
"PSMC1P1",-1.67531680873264,2.16852077806945,-6.41180400231664,4.22585699987416e-09,5.5252398683516e-06,10.5277441310722
"PRKX.AS1",0.99929929208514,0.777687440242997,6.37848640504837,4.94293071313072e-09,5.83335491328754e-06,10.3798881479066
"UQCRFS1P1",-1.93752626766448,2.51012153131624,-6.37356630122974,5.05853394157718e-09,5.83335491328754e-06,10.3580809011375
"C3orf35",0.809300816995359,1.40784585987223,6.37222935484566,5.09040525478774e-09,5.83335491328754e-06,10.3521563988497
"RP11.142A12.1",1.04490274125218,1.58527235849064,6.3703165416813,5.13634939980089e-09,5.83335491328754e-06,10.3436809187259
"RP11.130C19.3",0.623847681407802,0.582437640785231,6.36505463494123,5.26485739205387e-09,5.83335491328754e-06,10.3203714197422
"MTCYBP3",0.786835172336422,0.58207808560644,6.35360049365804,5.5556638583779e-09,5.83335491328754e-06,10.2696590318727
"RP11.423G4.10",1.19518883704516,1.35136289928381,6.34907969819051,5.67475360653542e-09,5.83335491328754e-06,10.2496540624534
"RNU1.91P",1.55481111298404,1.43346334185518,6.34524465919379,5.77775048208782e-09,5.83335491328754e-06,10.2326883176695
"LINC01024",0.901653406513739,2.03437862559183,6.33986370143327,5.92538155074081e-09,5.83335491328754e-06,10.2088908792616
"RP11.727A23.10",1.18185705222958,1.67557320502971,6.33913261478259,5.94572454005395e-09,5.83335491328754e-06,10.2056582830806
"HIVEP1",1.15530806000327,3.24622505307609,6.33182659488927,6.15284208145394e-09,5.83335491328754e-06,10.1733623779837
"RP11.93G23.2",0.962563105278106,1.24829089977626,6.33059161293818,6.18854883231432e-09,5.83335491328754e-06,10.1679047520442
"AC139100.3",0.838536754168541,0.863276439715467,6.32301404132348,6.41215529761438e-09,5.84230698759778e-06,10.1344278309395
"TEX14",1.25063048570637,1.72086030230859,6.31906601968852,6.53179617572894e-09,5.84230698759778e-06,10.11699260311
"RP11.700A24.1",1.00658323126964,1.56679279137287,6.31586326626776,6.63046781381372e-09,5.84230698759778e-06,10.1028520130024
"RP11.757G14.3",0.636862850811921,0.463199609499848,6.31054796638949,6.79747800096646e-09,5.86202932628026e-06,10.0793909553803
"RP11.147I3.1",1.33313288806148,2.38979031549438,6.2915748183374,7.42816771553324e-09,6.27246862179153e-06,9.99571445621426
