"","MHC class II protein complex assembly","peptide antigen assembly with MHC class II protein complex","MHC protein complex assembly","peptide antigen assembly with MHC protein complex","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","mitotic spindle midzone assembly","mitotic spindle elongation","positive regulation of mitotic cell cycle spindle assembly checkpoint","regulation of attachment of mitotic spindle microtubules to kinetochore","attachment of mitotic spindle microtubules to kinetochore","cytoplasmic translation","ribosomal small subunit biogenesis","ribosome assembly","ribosomal large subunit biogenesis","translational elongation","stress response to copper ion","negative regulation of stress-activated protein kinase signaling cascade","protein refolding","stress response to metal ion","label"
"Sample57",0,0,0,0,-0.418071607086301,-0.324060028060151,-0.324060028060151,-0.339484089064456,-0.322526981296134,-0.342951600579061,0.454057259569997,0.232966253892478,0.0558218284715115,0.140785338132908,0.341370265246044,-0.205315013886249,-0.330433127054316,-0.130008281868507,-0.205315013886249,1
"Sample58",0,0,0,0,-0.390595130548777,-0.30273780850725,-0.30273780850725,-0.299022155763509,-0.301980554029938,-0.340759035903354,0.37555805487967,0.162565432768232,0.0590659276935794,0.160851441119552,0.411934551026024,-0.288024675395328,-0.29641981882328,0.185156912971346,-0.288024675395328,1
"Sample59",0,0,0,0,-0.358323944808244,-0.246620195338613,-0.246620195338613,-0.32819186022154,-0.284216181096151,-0.372392319885746,0.477104768559992,0.214893094454856,-0.0524578267772682,0.0104727247629323,0.338785996689943,-0.241985498145121,-0.309015735958314,-0.134745725976694,-0.241985498145121,1
"Sample60",0,0,0,0,-0.476775323013894,-0.273999895315875,-0.273999895315875,-0.305769918357904,-0.280313532625322,-0.325011258861125,0.453028797208255,0.22964659607356,0.058453023342803,0.146346125750904,0.384859824720719,-0.154459782542668,-0.338265335614541,-0.172683188844753,-0.154459782542668,1
"Sample61",0,0,0,0,-0.308639109362304,-0.323362913294931,-0.323362913294931,-0.363606919339136,-0.375392385280422,-0.370027689274216,0.456781360636981,0.196273617423245,0.0360409724945735,0.0612772492332537,0.447582844952203,-0.0824521561846112,-0.402986161826703,-0.177187112149577,-0.0824521561846112,1
"Sample62",0,0,0,0,-0.428585657721311,-0.323065534464174,-0.323065534464174,-0.356956729218158,-0.32201389616912,-0.415935222247183,0.487742110448529,0.325582295580089,0.0282698978603379,0.0096657408875041,0.287298553747169,-0.179971324300476,-0.255983198575516,-0.13869195973858,-0.179971324300476,1
"Sample63",0,0,0,0,-0.469531886079117,-0.265069357410208,-0.265069357410208,-0.288111497264929,-0.261115826778044,-0.344971644753476,0.454440517716808,0.252830930711594,0.00534855838471209,0.00598090811510331,0.274706610395617,-0.0153470067768811,-0.302054638158836,-0.115899801783043,-0.0153470067768811,0
"Sample64",0,0,0,0,-0.481883022057371,-0.201650652917406,-0.201650652917406,-0.230402354889908,-0.179878095635084,-0.290627288240953,0.469538819365349,0.271403486650736,0.0449848256488612,0.0646895740836346,0.240619837576221,-0.0662040417516605,-0.217220116475974,-0.405934335534755,-0.0662040417516605,0
"Sample65",0,0,0,0,-0.487070495348706,-0.231548995059043,-0.231548995059043,-0.211816617238971,-0.199836997881244,-0.245137056230613,0.462514352774912,0.371219872768276,0.162598973969777,0.15961567625685,0.186599198758925,-0.271763632461235,-0.203604525056552,-0.376269763955961,-0.271763632461235,0
"Sample66",0,0,0,0,-0.386038771359396,-0.324123580448919,-0.324123580448919,-0.354822040303089,-0.339850762252683,-0.420947717362913,0.471680753906415,0.292865946592314,0.111618057089712,0.10222443128124,0.298350670667807,-0.141077959350264,-0.296671400996796,-0.0964846195619109,-0.141077959350264,1
"Sample67",0,0,0,0,-0.464243659263965,-0.25773208864315,-0.25773208864315,-0.31807789995094,-0.269483435646589,-0.339584017178369,0.469935421209327,0.251023735570133,0.0450725716628118,-0.00876810951477314,0.280737521006571,-0.175396916772013,-0.133902931516016,-0.188172690823216,-0.175396916772013,0
"Sample68",0,0,0,0,-0.402619413766501,-0.309293363192264,-0.309293363192264,-0.266382357112451,-0.261869638029497,-0.303526127169432,0.479042112935468,0.361462714657193,0.156162185772814,0.135991958195085,0.176923800549281,-0.142883710392042,-0.312284499268736,-0.298246979966734,-0.142883710392042,1
"Sample69",0,0,0,0,-0.215291753659369,-0.347626116076006,-0.347626116076006,-0.351360725553336,-0.360996954363322,-0.43114856950242,0.491325226820199,0.339132948315036,0.0416485797798582,0.0245699082256015,0.278834567393433,-0.173804228008497,-0.344647655454483,-0.150150547281852,-0.173804228008497,0
"Sample70",0,0,0,0,-0.491051896680698,-0.140932621694542,-0.140932621694542,-0.206791115133823,-0.187098383809547,-0.316028504903149,0.441232401192408,0.187675984238973,0.0330873440275859,0.0693484614218263,0.359293451942017,-0.365180749482673,-0.184315165189792,-0.152643195948612,-0.365180749482673,0
"Sample71",0,0,0,0,-0.395618345849808,-0.236487855032894,-0.236487855032894,-0.25242070720882,-0.21719423086705,-0.311970892520363,0.47071109409021,0.357999273379754,0.145115319729345,0.117487160473211,0.21667920384434,-0.0771587100204955,-0.277223393354167,-0.335874333585363,-0.0771587100204955,0
"Sample72",0,0,0,0,-0.342442254553578,-0.254760194299869,-0.254760194299869,-0.248061240461928,-0.230594086530971,-0.354533420866266,0.485217079784585,0.282084856419359,0.0415159694125598,0.0326582989551446,0.255571896413707,-0.119490987725642,-0.238493703396014,-0.239576810693267,-0.119490987725642,0
"Sample73",0,0,0,0,-0.465409946799632,-0.147748164892223,-0.147748164892223,-0.198100242699363,-0.151687464202244,-0.288639960648371,0.472279003939224,0.204815244261631,0.0925237507958137,0.120704497369945,0.355457725883494,-0.275246656065443,-0.143685932137132,-0.345666105935258,-0.275246656065443,0
"Sample74",0,0,0,0,-0.50678276314197,-0.201867038677205,-0.201867038677205,-0.277929963259336,-0.228746117368819,-0.365591663135693,0.450996064449491,0.16823620291791,0.105272775548162,-0.0147195095283272,0.392172029432608,-0.19386548207379,-0.169241736532159,-0.113069307403061,-0.19386548207379,0
"Sample75",0,0,0,0,-0.498437105581124,-0.264853996717548,-0.264853996717548,-0.287884511649915,-0.26999117273147,-0.357312422596075,0.488833491504221,0.24858997336896,0.0416711752258028,0.0248587418070757,0.282471130505252,-0.158553462489222,-0.338265335614541,-0.149788339884728,-0.158553462489222,0
"Sample76",0,0,0,0,-0.272032014081002,-0.35886828608664,-0.35886828608664,-0.379056592637584,-0.378498400317384,-0.443369016179772,0.484160160163163,0.31234914589194,0.0222712055252905,0.0371037009429922,0.26572953762442,-0.115375338293778,-0.37650208239366,-0.142561245626053,-0.115375338293778,1
"Sample77",0,0,0,0,-0.475387496625405,-0.256653416417229,-0.256653416417229,-0.292965399775254,-0.237976404462626,-0.339037662906541,0.4641241278718,0.292545166237129,0.115191114658165,0.060724750001088,0.287012335709321,-0.0708253767861243,-0.224926614786369,-0.2269104340541,-0.0708253767861243,1
"Sample78",0,0,0,0,-0.405001866213947,-0.267691057581687,-0.267691057581687,-0.285485146796972,-0.273114199608384,-0.34749031878943,0.47946269536438,0.332972980010413,0.111131009154872,0.0339528688790487,0.210422670651317,-0.313848517060864,-0.281604302887475,-0.144214161182772,-0.313848517060864,0
"Sample79",0,0,0,0,-0.465409946799632,-0.175034941144374,-0.175034941144374,-0.238666909113029,-0.186963431316645,-0.288400994802474,0.460887725089799,0.229301946703629,0.0588724916128299,0.105930814002722,0.36656412350745,-0.430646090592224,-0.128375091744774,-0.235748044706383,-0.430646090592224,0
"Sample80",0,0,0,0,-0.491051896680698,-0.182073617127525,-0.182073617127525,-0.262958593615672,-0.232311242472297,-0.327642979531636,0.447855637952401,0.1808376133503,0.0603480874682388,-0.0245989522402846,0.354466656559493,-0.0419219190480605,-0.175806142542506,-0.257872908434916,-0.0419219190480605,0
"Sample81",0,0,0,0,-0.386038771359396,-0.30862671429181,-0.30862671429181,-0.345386932114329,-0.329914871060251,-0.393815809142318,0.489658780036616,0.325626253083989,0.0850348286606255,0.06096090017967,0.240962079133763,-0.153877705258436,-0.349281683871574,-0.156064040816315,-0.153877705258436,0
