"Signature","Sample","group","Score","p_value.x","p_value.y","adj_p_value"
"Cytotoxicity","GSM4956779","1",2.00399786665484,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956780","2",2.67311777194222,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956785","1",0.874064661116411,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956788","1",1.56826734814182,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956789","1",0.933647356277235,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956792","1",0.629552497219356,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956797","1",1.31745190204542,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956799","1",0.717409103676217,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956800","2",0.776294603127644,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956801","1",1.98576882049337,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956802","1",1.03087259513402,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956803","2",0.871522118918198,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956804","1",1.73973249212075,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956805","1",1.45213771939746,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956817","2",3.12733355922615,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956824","1",0.949212141070523,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956826","2",2.68423844781259,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956827","1",1.70970822779191,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956828","2",2.75919297338961,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956829","1",2.26394910320629,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956830","1",0.954337638355844,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956831","2",0.948059065268428,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956832","1",1.26571334043213,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956833","1",1.24080304934972,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956834","1",1.05757444917668,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956838","2",2.25885769404095,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956840","2",2.43566556102735,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956848","2",1.68257363959279,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956849","1",1.77262290832708,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956856","2",0.352665169982127,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956858","2",1.43016226713488,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956859","1",1.9082857331846,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956863","2",1.07718153203173,0.452836793104245,0.452836793104245,0.452836793104245
"Cytotoxicity","GSM4956864","2",1.09362896509117,0.452836793104245,0.452836793104245,0.452836793104245
