"Signature","Sample","group","Score","p_value.x","p_value.y","adj_p_value"
"Cytotoxicity","GSM4956773","1",1.48513038607491,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956774","1",1.64497930702529,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956775","1",1.46515869085398,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956776","1",3.24893395550783,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956777","1",1.20136484480997,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956778","1",0.919118680757193,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956781","1",2.14962751268856,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956782","1",3.542902385055,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956783","1",3.01093815662499,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956784","1",2.84244525070523,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956786","1",1.99697457913723,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956787","2",0.272783263946642,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956790","1",1.5992130858545,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956791","1",2.18817706423124,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956793","1",0.621001104230569,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956794","1",5.57325153382638,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956795","1",4.40307828648308,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956796","1",3.12322076895975,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956798","2",0.126261097841538,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956806","1",3.53901208114192,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956807","2",0.553769394116978,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956808","1",2.66260226885052,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956809","2",0.843134288794751,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956810","1",1.04789756325948,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956811","2",1.3044122344207,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956812","1",0.708215746052424,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956813","1",0.905571929627491,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956814","1",1.92675573504755,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956815","1",3.07273172514239,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956818","2",1.96021658123719,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956819","1",2.23885191796898,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956820","1",0.286029118288652,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956821","2",1.06949080923324,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956822","1",0.699929208368294,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956823","2",0.158213955804761,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956825","2",1.9821749029226,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956835","2",1.52639189775868,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956836","1",0.141643895676787,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956837","1",0.359305122253407,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956839","2",2.15419063267089,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956841","2",3.94076450139441,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956842","1",0.557001004495857,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956843","2",2.46385293935709,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956844","1",4.02451525123531,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956845","1",0.313975269107898,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956846","2",0.719866055720176,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956847","2",0.385525118687321,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956850","2",1.57732956594794,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956851","1",0.344245121158064,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956852","2",0.349240492941328,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956853","2",1.21272001868696,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956854","1",2.32936030612292,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956855","1",0.600683787978182,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956857","2",2.23922798756027,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956860","2",1.02447983816854,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956861","1",1.32778093750915,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956862","1",0.882101310980575,0.0926124054063215,0.0926124054063215,0.160515482038829
"Cytotoxicity","GSM4956873","2",0.459662944669883,0.0926124054063215,0.0926124054063215,0.160515482038829
"Exhausted","GSM4956773","1",1.37083393655444,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956774","1",0.722415266569519,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956775","1",1.24722530959082,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956776","1",1.8090353538662,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956777","1",0.393974840394578,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956778","1",1.27289569414776,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956781","1",1.83812728054402,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956782","1",2.92665765127337,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956783","1",2.43698150297311,0.160515482038829,0.160515482038829,0.160515482038829
"Exhausted","GSM4956784","1",2.26236724609297,0.160515482038829,0.160515482038829,0.160515482038829
