"Signature","Sample","group","Score","p_value.x","p_value.y","adj_p_value"
"Co-stimulatory","GSM4956773","CM",1.36656783174209,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956774","CM",1.91819843959197,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956775","CM",2.33447802941916,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956776","CM",1.33262498511902,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956777","CM",1.7562829243831,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956778","CM",1.54449283537294,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956779","AM",1.92985017376312,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956780","AM",2.05822064602294,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956781","CM",1.33059238169854,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956782","CM",2.45676167742463,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956783","CM",2.6188407202858,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956784","CM",2.31431300592617,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956785","AM",1.57435047616072,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956786","CM",2.26618485743203,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956787","CM",1.4058721970254,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956788","AM",1.65745224351262,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956789","AM",1.73509107386123,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956790","CM",1.98716296904889,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956791","CM",1.86984439151592,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956792","AM",1.46822036366877,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956793","CM",1.58481346444802,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956794","CM",3.36671981120095,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956795","CM",3.85373852849328,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956796","CM",2.51882995457133,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956797","AM",1.61357790771728,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956798","CM",1.59951969258966,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956799","AM",1.71484343737997,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956800","AM",2.28309189451128,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956801","AM",2.28328952146799,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956802","AM",1.74661545205198,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956803","AM",2.35714466829032,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956804","AM",2.53202596824213,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956805","AM",1.82149248099485,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956806","CM",2.9561474114077,0.0635739532718576,0.0635739532718576,0.25429581308743
"Co-stimulatory","GSM4956807","CM",2.10182128851707,0.0635739532718576,0.0635739532718576,0.25429581308743
