Column,Average
HLA-DQA2,0.017268257989026835
HLA-DQA1,-0.10287582540877209
HLA-DRA,0.17950679526577396
HLA-DPB1,0.008112175714863723
HLA-DQB1,-0.0035253388826383177
HLA-DRB1,-0.04179932293686413
HLA-DMA,0.03129075763963671
HLA-DMB,-0.059695633679355084
HLA-DPA1,0.10035095414230238
IFNG,0.008104288208886177
IL2RG,-0.007424372561609842
CDT1,-0.04833268212959357
CDK1,-0.0446520159481585
SKA1,0.006464023737815695
AURKB,0.027854052477162865
SKA3,0.04343596330530534
BIRC5,-0.07076203705400218
NDC80,0.021447493466107397
MAD2L1,-0.1220887654317839
PRC1,0.04513046192307086
CDCA8,-0.05592415009454581
KIF2C,-0.028839360851263426
CENPE,0.02209637533372924
NUF2,-0.0023490763960786988
KIF4A,-0.022416450181999982
KIF23,-0.08374210067847747
RACGAP1,0.008180445474798745
RPL13,-0.13359580765407686
RPL18,0.11232168305909417
RPS19,-0.09935465644932397
RPS12,-0.07860481791287963
RPL3,-0.019597884199362106
RPL19,0.21476536744199629
RPL28,0.2306176892616722
RPS9,0.034795971233012625
RPS23,-0.007296602109212372
RPL5,0.011956462009769991
RPS5,0.00877178229727687
RPS6,0.03387315775019582
RPLP1,0.04943108594579321
RACK1,-0.1642994453165526
RPL7A,0.02415215310617443
RPL8,0.10813446511898633
RPS7,0.012146693188719818
RPL4,-0.1825338919350921
RPLP0,0.06435103755729817
RPL6,0.22025633015055351
EEF1D,-0.0445360606614042
RPS2,-0.15361999308933108
EIF3D,0.1022422715549047
RPS3A,-0.16314427637433876
PABPC1,0.18281719841795227
RPL23,0.12413719105662319
RPL12,0.173529205430048
RPS25,-0.14756547020911404
RPS8,-0.06781706481315779
RPL29,0.039813187502104504
RPL10,0.13765677539693108
RPS24,-0.2692040916665386
NOB1,-0.13634874136432157
NPM1,0.0995713117784865
NOP53,0.0
NOA1,0.034195288460064116
ZNHIT3,0.18488795628149088
EEF2,0.10506053717890776
EEF1A1,-0.15829342295068555
HSPB2,-0.010363860617382219
CRYAB,-0.06980469903927596
DNAJA4,0.17378365322913944
HSPA1A,-0.09610248772216831
HSPA1B,-0.05193891912033715
PBK,-0.05503147333717159
FOXM1,0.06393581419128494
MT1X,0.11980474227203104
MT1E,0.0038180702435955563
MT2A,-0.024465366293008613
MT1M,-0.01697560109146437
